,cloudiness,country,date,humidity,latitude,longitude,max temperature,name,wind speed
307,20,CL,1549224000,36,-33.44,-70.65,91.4,Santiago,9.17
308,40,MG,1549224000,94,-18.17,49.38,75.2,Toamasina,2.24
309,75,EG,1549224000,77,31.35,27.25,59.0,Marsa Matruh,13.87
310,12,TH,1549226079,98,12.48,102.07,77.69,Laem Sing,3.04
311,0,IN,1549226080,84,22.05,72.81,65.85,Jambusar,4.38
312,0,MM,1549226081,91,22.93,97.75,49.83,Lashio,1.7
313,24,TR,1549226082,73,40.67,33.6,21.03,Ayan,1.59
314,0,MA,1549224000,40,31.63,-7.99,53.6,Marrakesh,8.05
315,0,CN,1549226083,60,38.48,106.21,9.96,Yinchuan,7.07
316,0,RU,1549226083,0,58.71,81.5,-45.26,Parabel,2.59
317,90,AU,1549224000,94,-20.01,148.25,75.2,Bowen,5.82
318,0,RU,1549226085,55,65.37,58.04,-31.71,Synya,0.58
319,75,CV,1549224000,73,15.28,-23.77,69.8,Tarrafal,14.99
320,20,DK,1549223400,86,56.27,8.32,30.2,Ulfborg,5.82
321,44,RU,1549226087,83,61.28,108.01,-39.81,Yerbogachen,4.16
322,20,US,1549223760,44,32.45,-99.73,73.94,Abilene,18.34
323,75,AU,1549224300,83,-23.13,150.74,75.2,Yeppoon,8.05
324,20,SV,1549223400,43,13.64,-88.78,89.6,San Vicente,9.17
325,76,GL,1549223400,85,60.72,-46.03,23.0,Qaqortoq,4.7
326,24,RU,1549226091,69,57.14,103.93,-36.75,Novaya Igirma,2.59
327,0,MA,1549226091,51,32.3,-9.24,52.8,Safi,16.8
328,0,ML,1549226092,20,22.68,-3.98,62.3,Taoudenni,13.11
329,20,BR,1549224000,62,-5.13,-49.33,87.8,Itupiranga,3.36
330,40,BR,1549224000,65,-23.68,-45.44,82.4,Porto Novo,9.17
331,36,TL,1549226094,92,-8.93,125.41,69.32,Airai,1.48
332,100,ID,1549226095,100,-9.11,124.89,74.99,Atambua,1.36
333,92,RU,1549226095,98,54.43,31.9,33.81,Sobolevo,10.2
334,0,GB,1549225200,80,52.47,1.45,37.4,Broome,10.29
335,76,EE,1549226096,91,59.1,26.19,32.64,Vao,9.53
336,76,BR,1549226097,94,-0.61,-47.36,82.32,Salinopolis,8.63
337,12,BR,1549225889,64,-29.69,-53.81,75.89,Santa Maria,13.44
338,5,MX,1549223100,62,15.86,-97.07,84.2,Puerto Escondido,11.41
339,75,CA,1549224000,76,63.75,-68.52,-4.01,Iqaluit,9.17
340,0,MG,1549226101,76,-24.69,44.75,71.75,Ampanihy,13.0
341,75,AU,1549224000,94,-34.58,150.85,71.6,Flinders,4.05
342,44,PY,1549226103,86,-26.98,-56.83,74.54,San Patricio,3.15
343,0,MM,1549226105,90,18.82,95.22,62.61,Pyay,2.48
344,75,UA,1549224780,93,48.53,35.87,35.6,Pavlohrad,8.95
345,0,ET,1549226107,73,9.57,37.1,47.72,Shambu,2.15
346,68,PE,1549226107,91,-16.09,-69.64,50.55,Ilave,12.44
347,0,ES,1549224000,75,43.48,-8.23,46.4,Ferrol,3.36
348,0,IL,1549223400,81,32.75,35.1,53.6,Rekhasim,3.36
349,40,CO,1549220400,41,5.66,-67.63,95.0,Puerto Ayacucho,4.5
350,75,AU,1549224000,94,-35.36,150.48,71.6,Ulladulla,8.75
351,32,ZA,1549226110,86,-31.47,19.78,59.15,Calvinia,3.38
352,0,CN,1549226111,34,40.12,124.37,10.05,Dandong,4.38
353,40,JM,1549224000,61,17.88,-76.41,80.6,Morant Bay,10.29
354,88,RU,1549226113,94,69.38,178.42,0.6,Leningradskiy,6.17
355,36,BR,1549226113,86,-2.92,-39.92,80.25,Itarema,7.96
356,48,JP,1549226114,83,37.05,140.89,54.92,Iwaki,15.01
357,12,SN,1549226115,68,12.56,-12.19,75.8,Kedougou,2.93
358,64,PG,1549226115,71,-8.88,147.74,69.72,Kokoda,2.15
359,56,LK,1549226116,98,7.35,80.68,67.79,Wattegama,2.71
360,40,PE,1549224000,319,-3.75,-73.25,42.8,Iquitos,6.93
361,90,US,1549224480,84,64.86,-147.8,8.96,College,7.63
362,20,US,1549223700,47,35.03,-90.03,71.6,Whitehaven,14.99
363,44,NZ,1549226118,61,-45.41,167.72,56.58,Te Anau,14.67
364,0,KH,1549224000,78,10.62,104.18,80.6,Kampot,5.82
365,76,TZ,1549226120,65,-4.97,34.86,68.37,Mungaa,3.04
366,80,MX,1549226120,84,27.97,-114.04,66.12,Guerrero Negro,3.04
367,90,MX,1549222860,46,27.52,-110.01,73.4,Laguna,5.82
368,44,CN,1549226122,100,23.86,112.01,55.68,Huangzhai,2.71
369,20,NG,1549224000,83,5.43,7.07,82.4,Naze,3.36
370,0,ML,1549226123,35,13.69,-6.07,75.39,Markala,7.96
